H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
2.50,0.051,0.000,0.0011,3.040,0.000,0.020,0.000,0.051,0.000,0.000,0.000,0,15.00
2.52,0.060,0.000,0.0010,3.340,22.000,0.016,0.000,0.061,0.000,0.000,0.000,0,17.50
2.54,0.060,0.000,0.0011,3.340,18.000,0.016,0.000,0.061,0.000,0.000,0.000,0,17.50
2.56,0.060,0.000,0.0010,3.170,15.000,0.017,0.000,0.060,0.000,0.000,0.000,0,17.50
2.58,0.057,0.000,0.0011,3.250,17.000,0.017,0.000,0.057,0.000,0.000,0.000,0,17.50
2.60,0.059,0.000,0.0011,3.300,19.000,0.017,0.000,0.059,0.000,0.000,0.000,0,17.50
2.62,0.062,0.000,0.0011,3.250,18.000,0.016,0.000,0.063,0.000,0.000,0.000,0,17.50
2.64,0.061,0.000,0.0011,3.150,20.000,0.016,0.000,0.062,0.000,0.000,0.000,0,17.50
2.66,0.059,0.000,0.0011,3.200,20.000,0.017,0.000,0.059,0.000,0.000,0.000,0,17.50
2.68,0.058,0.000,0.0011,3.220,19.000,0.017,0.000,0.058,0.000,0.000,0.000,0,17.50
2.70,0.059,0.000,0.0012,3.080,25.000,0.017,0.000,0.059,0.000,0.000,0.000,0,17.50
2.72,0.058,0.000,0.0012,3.040,26.000,0.017,0.000,0.058,0.000,0.000,0.000,0,17.50
2.74,0.058,0.000,0.0012,3.170,24.000,0.017,0.000,0.058,0.000,0.000,0.000,0,17.50
2.76,0.060,0.000,0.0012,3.160,20.000,0.017,0.000,0.060,0.000,0.000,0.000,0,17.50
2.78,0.059,0.000,0.0013,3.140,17.000,0.017,0.000,0.059,0.000,0.000,0.000,0,17.50
2.80,0.054,0.000,0.0013,3.090,19.000,0.018,0.000,0.055,0.000,0.000,0.000,0,17.50
