H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
0.00,0.000,0.000,0.0012,2.490,31.000,2.033,0.000,0.000,0.000,0.000,0.000,0,15.00
0.02,0.000,0.000,0.0012,2.490,31.000,2.033,0.000,0.000,0.000,0.000,0.000,0,15.00
0.04,0.000,0.000,0.0012,2.490,31.000,2.033,0.000,0.000,0.000,0.000,0.000,0,15.00
0.06,0.000,0.000,0.0006,1.950,31.000,4.065,0.000,0.000,0.000,0.000,0.000,0,15.00
0.08,0.000,0.000,0.0007,2.080,32.000,3.484,0.000,0.000,0.000,0.000,0.000,0,15.00
0.10,0.000,0.000,0.0007,2.000,32.000,3.484,0.000,0.000,0.000,0.000,0.000,0,15.00
0.12,0.000,0.000,0.0007,1.980,32.000,3.484,0.000,0.000,0.000,0.000,0.000,0,15.00
0.14,0.000,0.000,0.0008,2.080,19.000,3.049,0.000,0.000,0.000,0.000,0.000,0,15.00
0.16,0.000,0.000,0.0012,1.980,14.000,2.033,0.000,0.000,0.000,0.000,0.000,0,15.00
0.18,0.000,0.000,0.0013,1.980,17.000,1.876,0.000,0.001,0.000,0.000,0.000,0,15.00
0.20,0.000,0.000,0.0014,2.040,26.000,1.742,0.000,0.001,0.000,0.000,0.000,0,15.00
0.22,0.000,0.000,0.0016,1.970,28.000,1.524,0.000,0.001,0.000,0.000,0.000,0,15.00
0.24,0.000,0.000,0.0017,1.940,29.000,1.435,0.000,0.001,0.000,0.000,0.000,0,15.00
0.26,0.000,0.000,0.0018,1.850,29.000,1.355,0.000,0.001,0.000,0.000,0.000,0,15.00
0.28,0.000,0.000,0.0020,1.910,32.000,1.220,0.000,0.001,0.000,0.000,0.000,0,15.00
0.30,0.000,0.000,0.0023,1.910,30.000,1.060,0.000,0.001,0.000,0.000,0.000,0,15.00
0.32,0.000,0.000,0.0024,1.870,31.000,1.016,0.000,0.001,0.000,0.000,0.000,0,15.00
0.34,0.000,0.000,0.0035,1.940,1.000,0.697,0.000,0.001,0.000,0.000,0.000,0,15.00
0.36,0.000,0.000,0.0038,1.840,6.000,0.642,0.000,0.002,0.000,0.000,0.000,0,15.00
0.38,0.000,0.000,0.0039,1.990,19.000,0.625,0.000,0.002,0.000,0.000,0.000,0,15.00
