ID	longitude	latitude	termDepth	Vs30	standDev
3	-43.5123209	172.70938	30.0	181.34599079489985	0.05518942995581365
4	-43.5116328	172.71216	39.25	180.90897240660072	0.052156463833939445
23	-43.5139917	172.710053	33.06	177.85279072430174	0.04595370708639012
24	-43.5153111	172.710458	38.46	174.98729110164604	0.054933496102480696
25	-43.5122567	172.710624	23.55	180.2339167221712	0.1047849709824485
29	-43.5097315	172.71012	28.0	191.13090051527578	0.05578951804455029
30	-43.5098294	172.71212	38.75	172.58647378038242	0.047621094446052795
31	-43.5073775	172.709962	38.24	186.1431524078868	0.05294690078710283
32	-43.5074634	172.712462	38.13	189.81632169322148	0.047061780053505906
155	-43.5190035	172.720487	24.51	182.77291543792896	0.10498076076544115
156	-43.517779	172.719259	23.15	193.65272357241267	0.10666286883906598
157	-43.5165285	172.720668	30.0	180.37692263199958	0.04208465659723025
159	-43.5151732	172.718474	39.63	183.63692962940948	0.045820335541854273
162	-43.5130462	172.717596	39.44	192.1239795833407	0.044494965730864346
165	-43.5105269	172.71724	25.89	184.36043951587504	0.0876647902090524
305	-43.4945064	172.69741	27.72	187.35999516850254	0.06948295003116252
306	-43.4963231	172.700396	26.2	171.95031841909216	0.062288445970798176
309	-43.4898579	172.689257	26.1	205.2586048218979	0.07529746120083125
310	-43.4887958	172.689559	17.69	181.99794419272047	0.2141789732855198
330	-43.4963251	172.700415	20.77	187.46293609210443	0.14666706801532117
331	-43.494338	172.698521	20.99	200.26079168335804	0.10825088797654607
332	-43.4965577	172.698023	22.48	193.3735546179607	0.11094338265298852
333	-43.4945397	172.69619	27.81	194.39515927343388	0.06074345900266542
343	-43.4901192	172.693743	29.89	211.07101107829743	0.036513258981292415
964	-43.5595425	172.680472	9.71	209.2652843200767	0.40550367918077496
969	-43.5554388	172.686688	27.55	172.23618024555117	0.05158949796781472
970	-43.5555478	172.687858	26.82	164.6215951834545	0.08132326916374089
972	-43.5548807	172.688547	27.39	148.63044174242907	0.06911739411546304
974	-43.5545462	172.695389	21.95	198.4995840639953	0.12664445315989525
1441	-43.4964788	172.702925	20.33	186.33151470208108	0.14793842457495757
1944	-43.5105451	172.712782	20.1	206.00409780179746	0.14753531874377537
2596	-43.5071179	172.710229	20.03	204.05027936431534	0.14959789544837376
